Date,day_opening_price,day_high,day_low,day_closing_price,day_trading_volume,ZERO_START_POINT,DAY_HIGH_vs_ZERO,DAY_LOW_vs_ZERO,DAY_CLOSE_vs_ZERO
09/09/2011,1185.37,1185.37,1148.37,1154.23,"4,586,370,000",0,0,-37,-31.14
12/09/2011,1153.5,1162.52,1136.07,1162.27,"5,168,550,000",0,9.02,-17.43,8.77
13/09/2011,1162.59,1176.41,1157.44,1172.87,"4,681,370,000",0,13.82,-5.15,10.28
14/09/2011,1173.32,1202.38,1162.73,1188.68,"4,986,740,000",0,29.06,-10.59,15.36
15/09/2011,1189.44,1209.11,1189.44,1209.11,"4,479,730,000",0,19.67,0,19.67
16/09/2011,1209.21,1220.06,1204.46,1216.01,"5,248,890,000",0,10.85,-4.75,6.8
19/09/2011,1214.99,1214.99,1188.36,1204.09,"4,254,190,000",0,0,-26.63,-10.9
20/09/2011,1204.5,1220.39,1201.29,1202.09,"4,315,610,000",0,15.89,-3.21,-2.41
21/09/2011,1203.63,1206.3,1166.21,1166.76,"4,728,550,000",0,2.67,-37.42,-36.87
22/09/2011,1164.55,1164.55,1114.22,1129.56,"6,703,140,000",0,0,-50.33,-34.99
23/09/2011,1128.82,1141.72,1121.36,1136.43,"5,639,930,000",0,12.9,-7.46,7.61
26/09/2011,1136.91,1164.19,1131.07,1162.95,"4,762,830,000",0,27.28,-5.84,26.04
27/09/2011,1163.32,1195.86,1163.32,1175.38,"5,548,130,000",0,32.54,0,12.06
28/09/2011,1175.39,1184.71,1150.4,1151.06,"4,787,920,000",0,9.32,-24.99,-24.33
29/09/2011,1151.74,1175.87,1139.93,1160.4,"5,285,740,000",0,24.13,-11.81,8.66
30/09/2011,1159.93,1159.93,1131.34,1131.42,"4,416,790,000",0,0,-28.59,-28.51
03/10/2011,1131.21,1138.99,1098.92,1099.23,"5,670,340,000",0,7.78,-32.29,-31.98
04/10/2011,1097.42,1125.12,1074.77,1123.95,"3,714,670,000",0,27.7,-22.65,26.53
05/10/2011,1124.03,1146.07,1115.68,1144.03,"2,510,620,000",0,22.04,-8.35,20
06/10/2011,1144.11,1165.55,1134.95,1164.97,"5,098,330,000",0,21.44,-9.16,20.86
